id,title,type,release_year,age_certification,runtime,genres,production_countries,seasons,imdb_id,imdb_score,imdb_votes,age_certification_num,weighted_rating
tm184608,Texas Chainsaw 3D,MOVIE,2013,R,92,"['horror', 'thriller']",['US'],0,tt1572315,4.8,49312,5.0,5.051
ts20917,The Night Shift,SHOW,2014,TV-14,42,"['drama', 'romance', 'fantasy', 'horror', 'action', 'animation', 'comedy']",['US'],4,tt1483202,7.5,12069,4.0,7.25
tm161029,Mr. Peabody & Sherman,MOVIE,2014,PG,92,"['action', 'family', 'animation', 'history', 'scifi', 'romance', 'comedy', 'fantasy']",['US'],0,tt0864835,6.8,68790,2.0,6.802
tm143474,Vampire Academy,MOVIE,2014,PG-13,104,"['fantasy', 'horror', 'thriller', 'action', 'comedy', 'drama']",['US'],0,tt1686821,5.4,54190,3.0,5.562
tm140342,"I, Frankenstein",MOVIE,2014,PG-13,92,"['horror', 'thriller', 'scifi', 'action', 'fantasy']","['AU', 'US']",0,tt1418377,5.1,80733,3.0,5.237
tm141648,Seventh Son,MOVIE,2014,PG-13,120,"['fantasy', 'action']","['US', 'GB', 'CN', 'CA']",0,tt1121096,5.5,76395,3.0,5.611
tm142856,Sabotage,MOVIE,2014,R,109,"['drama', 'thriller', 'western', 'action', 'crime']",['US'],0,tt1742334,5.7,63007,5.0,5.812
tm181081,The Railway Man,MOVIE,2013,R,116,"['drama', 'european', 'war', 'romance']","['GB', 'AU', 'CH']",0,tt2058107,7.1,39743,5.0,7.058
ts42168,Resurrection: Ertugrul,SHOW,2014,TV-14,57,"['war', 'action', 'drama', 'history']",['TR'],5,tt4320258,7.9,35515,4.0,7.722
tm178211,Life of Crime,MOVIE,2013,R,94,"['comedy', 'crime']",['US'],0,tt1663207,5.8,18793,5.0,6.077
tm144121,Get on Up,MOVIE,2014,PG-13,139,"['drama', 'music']",['US'],0,tt2473602,6.9,24456,3.0,6.882
tm151447,The November Man,MOVIE,2014,R,108,"['crime', 'action', 'thriller']","['GB', 'US']",0,tt2402157,6.3,67243,5.0,6.349
tm154797,The Nut Job,MOVIE,2014,PG,85,"['comedy', 'crime', 'family', 'animation']","['CA', 'KR']",0,tt1821658,5.7,28295,2.0,5.922
tm159796,Brick Mansions,MOVIE,2014,PG-13,90,"['crime', 'drama', 'action', 'thriller']","['CA', 'FR']",0,tt1430612,5.6,42137,3.0,5.774
tm181533,The Big Wedding,MOVIE,2013,R,90,"['comedy', 'drama', 'romance']",['US'],0,tt1931435,5.6,49549,5.0,5.751
tm143642,Who Am I,MOVIE,2014,,105,"['thriller', 'european', 'drama', 'scifi', 'crime']",['DE'],0,tt4426376,7.5,55044,0.0,7.423
ts32060,Sam & Cat,SHOW,2013,TV-G,24,"['drama', 'family', 'comedy']",['US'],1,tt2487090,5.6,9507,1.0,6.117
tm162271,Bo Burnham: What.,MOVIE,2013,,60,"['comedy', 'music', 'documentation']",['US'],0,tt3210258,8.3,11488,0.0,7.739
tm166628,The Smurfs 2,MOVIE,2013,PG,105,"['fantasy', 'animation', 'comedy', 'family']",['US'],0,tt2017020,5.3,41571,2.0,5.519
tm171228,Metallica: Through the Never,MOVIE,2013,R,93,['music'],['US'],0,tt2172935,7.1,17433,5.0,7.02
tm136601,Walk of Shame,MOVIE,2014,R,95,['comedy'],['US'],0,tt2463288,6.0,54065,5.0,6.094
tm143757,Search Party,MOVIE,2014,R,93,['comedy'],['US'],0,tt2758904,5.6,7789,5.0,6.177
tm143372,Stand by Me Doraemon,MOVIE,2014,G,90,"['fantasy', 'animation', 'comedy', 'drama', 'family', 'scifi']",['JP'],0,tt3331846,7.3,7812,1.0,7.073
tm71148,Thanks for Sharing,MOVIE,2013,R,112,"['drama', 'comedy', 'romance']",['US'],0,tt1932718,6.4,28204,5.0,6.483
tm161562,Copenhagen,MOVIE,2014,,98,"['drama', 'romance']","['US', 'DK']",0,tt2459156,7.1,13135,0.0,7.002
